variant,status,rmse_bu_acre,nrmse_pct,r2,corn_rmse,corn_mape_pct,precipitation_pct,radiation_pct,vpd_pct,nitrogen_pct,temperature_pct,time_sec
baseline,OK,22.705155730104376,11.746688711956255,-0.4427753940676189,22.705155730104376,8.977391246118604,2.2119269371032715,47.241336822509766,-29.387073516845703,31.97124671936035,4.143336296081543,1537.422604560852
lstm_res,OK,21.845514298437923,11.30194653878113,-0.3355935225914606,21.845514298437923,8.766847121262204,2.0297770500183105,48.42344284057617,-29.883373260498047,32.359825134277344,4.339026927947998,1719.5519247055054
no_year_trend,OK,25.518556138036573,13.202223270138221,-0.8224765671557903,25.518556138036573,9.941039169024583,3.733853340148926,50.80562210083008,-33.238037109375,35.29621887207031,4.557592391967773,965.2667682170868
no_water_floor,OK,242.75335429091817,125.59033377858877,-163.92262405348717,242.75335429091817,104.30194318496761,156.38243103027344,43.40548324584961,-3.8304672241210938,23.435548782348633,2.6706833839416504,1556.2056274414062
no_canopy_loss,OK,23.352835156454617,12.081770694960989,-0.5262616237556184,23.352835156454617,9.190082911543387,2.727334499359131,50.163883209228516,-32.92947769165039,30.459951400756836,4.535490989685059,1586.3579246997833
no_coupling_anomaly,OK,22.672577096412002,11.729833902714065,-0.43863801400454205,22.672577096412002,9.02687433112003,2.3437867164611816,48.747108459472656,-30.4039306640625,37.65016174316406,4.498877048492432,1533.3610401153564
no_vpd_stress,OK,21.73599401161124,11.245285367534837,-0.32223536427762056,21.73599401161124,8.893142728487996,1.6218591928482056,53.40769577026367,0.0,38.618961334228516,3.5804197788238525,1450.1878945827484
no_nitrogen_stress,OK,22.418275022939604,11.598268749345632,-0.40654665559876935,22.418275022939604,8.913290783564493,2.3938682079315186,48.74222946166992,-30.968185424804688,2.339439868927002,4.378349781036377,1348.9269664287567
no_temperature_stress,OK,21.675304231755117,11.213887038431029,-0.31486195921036586,21.675304231755117,8.724185808973075,2.0608434677124023,48.6900634765625,-29.55942726135254,30.450109481811523,0.1756601631641388,1403.5047883987427
temp_soft_035,OK,22.36168937764602,11.568993726142528,-0.39945512838423847,22.36168937764602,8.854308391875861,2.144333839416504,46.4870491027832,-29.376981735229492,34.258792877197266,8.413331031799316,1426.8132569789886
temp_soft_010,OK,22.40507968244866,11.591442037428838,-0.4048913632202169,22.40507968244866,8.944705979586058,2.291760206222534,49.220191955566406,-30.84956932067871,30.694915771484375,2.666285753250122,1488.547958612442
hard_temperature_stress,OK,39.877790246671374,20.631084592265005,-3.4505319833564316,39.877790246671374,15.370981978498815,1.9972411394119263,41.025394439697266,-31.907974243164062,19.419952392578125,49.914459228515625,1441.1538829803467
